央视,#genre#
CCTV1,https://stream1.freetv.fun/cctv1-75.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-16.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-9.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-72.m3u8
CCTV10,https://stream1.freetv.fun/cctv10-69.m3u8
CCTV11,https://stream1.freetv.fun/cctv11-44.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-14.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-9.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-36.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-66.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-77.m3u8
CCTV12,https://stream1.freetv.fun/cctv12-47.m3u8
CCTV13,https://stream1.freetv.fun/cctv13-22.m3u8
CCTV13,https://stream1.freetv.fun/cctv13-56.m3u8
CCTV13,https://stream1.freetv.fun/cctv13-81.m3u8
CCTV14,https://stream1.freetv.fun/cctv14-6.m3u8
CCTV14,https://stream1.freetv.fun/cctv14-65.m3u8
CCTV14,https://stream1.freetv.fun/cctv14-70.m3u8
CCTV14,https://stream1.freetv.fun/cctv14-50.m3u8
CCTV15,https://stream1.freetv.fun/cctv15-79.m3u8
CCTV15,https://stream1.freetv.fun/cctv15-28.m3u8
CCTV15,https://stream1.freetv.fun/cctv15-55.m3u8
CCTV16,https://stream1.freetv.fun/cctv16-49.m3u8
CCTV17,https://stream1.freetv.fun/cctv17-58.m3u8
CCTV17,https://stream1.freetv.fun/cctv17-23.m3u8
CCTV17,https://stream1.freetv.fun/cctv17-30.m3u8
CCTV17,https://stream1.freetv.fun/cctv17-1.m3u8
CCTV2,https://stream1.freetv.fun/cctv2-22.m3u8
CCTV3,https://stream1.freetv.fun/cctv3-26.m3u8
CCTV3,https://stream1.freetv.fun/cctv3-46.m3u8
CCTV3,https://stream1.freetv.fun/cctv3-60.m3u8
CCTV4,https://stream1.freetv.fun/cctv4-73.m3u8
CCTV4,https://stream1.freetv.fun/cctv4-13.m3u8
CCTV4,https://stream1.freetv.fun/cctv4ou-zhou-5.ctv
CCTV4,https://stream1.freetv.fun/cctv4-7.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-49.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-42.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-82.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-14.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-29.m3u8
CCTV4 FHD,https://stream1.freetv.fun/cctv4-80.ctv
CCTV5,https://stream1.freetv.fun/cctv5-78.m3u8
CCTV5,https://stream1.freetv.fun/cctv5-23.m3u8
CCTV5,https://stream1.freetv.fun/cctv5-6.m3u8
CCTV5,https://stream1.freetv.fun/cctv5-2.ctv
CCTV5(h265),https://stream1.freetv.fun/cctv5-83.m3u8
CCTV5(h265),https://stream1.freetv.fun/cctv5-71.m3u8
CCTV5(h265),https://stream1.freetv.fun/cctv5-95.m3u8
CCTV5+,https://stream1.freetv.fun/cctv5-plus-47.m3u8
CCTV5+,https://stream1.freetv.fun/cctv5-plus-63.m3u8
CCTV5+(backup),https://stream1.freetv.fun/cctv-5-plusti-yu-sai-shi-1.m3u8
CCTV5+(backup),https://stream1.freetv.fun/cctv5-plus-57.m3u8
CCTV5+(backup),https://stream1.freetv.fun/cctv5-plus-5.m3u8
CCTV6,https://stream1.freetv.fun/cctv6-50.ctv
CCTV6,https://stream1.freetv.fun/cctv6-52.m3u8
CCTV6,https://stream1.freetv.fun/cctv6-23.m3u8
CCTV6,https://stream1.freetv.fun/cctv6-31.m3u8
CCTV6,https://stream1.freetv.fun/cctv6-60.m3u8
CCTV6,https://stream1.freetv.fun/cctv6-16.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-68.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-15.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-30.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-62.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-44.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-40.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-35.m3u8
CCTV7,https://stream1.freetv.fun/cctv7-31.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-48.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-36.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-23.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-27.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-9.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-54.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-15.m3u8
CCTV8,https://stream1.freetv.fun/cctv8-40.m3u8
CCTV9,https://stream1.freetv.fun/cctv9-32.m3u8
CCTV9,https://stream1.freetv.fun/cctv9-9.m3u8
CCTV9,https://stream1.freetv.fun/cctv9--w-1.ctv
CCTV9,https://stream1.freetv.fun/cctv9-3.m3u8
